,Reporting Year___x,NTA__,boro___x,NO_count,unit_value_max_max_x,unit_value_min_min_x,unit_value_total_sum_x,unit_value_mean_x,YES_count,unit_value_max_max_y,unit_value_min_min_y,unit_value_total_sum_y,unit_value_mean_y,count_all,vacant_ratio
0,2019 and 2020,BK09,3,196,358.938679245283,37.74271844660194,26654.89861285866,135.9943806778503,31,328.45054945054943,70.115625,4674.529617061879,150.79127796973805,227,0.13656387665198239
1,2019 and 2020,BK09,3,196,358.938679245283,37.74271844660194,26654.89861285866,135.9943806778503,55,358.938679245283,70.115625,7831.438660108294,142.3897938201508,251,0.21912350597609562
2,2020 and 2021,BK09,3,200,470.0769230769231,58.11204364898791,28062.08939593477,140.31044697967386,31,328.45054945054943,70.115625,4674.529617061879,150.79127796973805,231,0.1341991341991342
3,2020 and 2021,BK09,3,200,470.0769230769231,58.11204364898791,28062.08939593477,140.31044697967386,55,358.938679245283,70.115625,7831.438660108294,142.3897938201508,255,0.21568627450980393
4,2019 and 2020,BK17,3,443,589.7983595352016,25.5,39275.95455741857,88.65903963299903,55,195.48,23.047619047619047,4920.388727861164,89.46161323383934,498,0.11044176706827309
5,2019 and 2020,BK17,3,443,589.7983595352016,25.5,39275.95455741857,88.65903963299903,66,195.48,19.23076923076923,5656.853016660345,85.70989419182341,509,0.12966601178781925
6,2020 and 2021,BK17,3,416,589.7983595352016,23.047619047619047,37443.303704690974,90.00794159781483,55,195.48,23.047619047619047,4920.388727861164,89.46161323383934,471,0.11677282377919321
7,2020 and 2021,BK17,3,416,589.7983595352016,23.047619047619047,37443.303704690974,90.00794159781483,66,195.48,19.23076923076923,5656.853016660345,85.70989419182341,482,0.13692946058091288
8,2019 and 2020,BK19,3,270,483.375,29.876712328767123,28643.94076675855,106.08866950651316,33,165.7760090960773,18.57753204322694,2523.2930006038496,76.46342426072272,303,0.10891089108910891
9,2019 and 2020,BK19,3,270,483.375,29.876712328767123,28643.94076675855,106.08866950651316,22,141.6375,22.071428571428573,1873.7703328653079,85.1713787666049,292,0.07534246575342465
10,2020 and 2021,BK19,3,254,483.375,29.876712328767123,25803.166824345277,101.58727096198928,33,165.7760090960773,18.57753204322694,2523.2930006038496,76.46342426072272,287,0.11498257839721254
